time[us],volt(fsr)[v],signal,signal frequency[Hz]
54772526,0,0,1000
54772887,0,0,1000
54773247,0,0,1000
54773607,0,0,1000
54773968,0,0,1000
54774328,0,0,1000
54774688,0,0,1000
54775049,0,0,1000
54775409,0,0,1000
54775770,0,0,1000
54776130,0,0,1000
54776490,0,0,1000
54776851,0,0,1000
54777211,0,0,1000
54777571,0,0,1000
54777932,0,0,1000
54778292,0,0,1000
54778653,0,0,1000
54779014,0,0,1000
54779373,0,0,1000
54779734,0,0,1000
54780094,0,0,1000
54780455,0,0,1000
54780815,0,0,1000
54781175,0,0,1000
54781536,0,0,1000
54781896,0,0,1000
54782256,0,0,1000
54782617,0,0,1000
54782977,0,0,1000
54783338,0,0,1000
54783698,0,0,1000
54784058,0,0,1000
54784419,0,0,1000
54784779,0,0,1000
54785139,0,0,1000
54785500,0,0,1000
54785860,0,0,1000
54786221,0,0,1000
54786581,0,0,1000
54786941,0,0,1000
54787302,0,0,1000
54787662,0,0,1000
54788021,0,0,1000
54788381,0,0,1000
54788741,0,0,1000
54789102,0,0,1000
54789462,0,0,1000
54789822,0,0,1000
54790183,0,0,1000
54790543,0,0,1000
54790903,0,0,1000
54791264,0,0,1000
54791624,0,0,1000
54791985,0,0,1000
54792345,0,0,1000
54792705,0,0,1000
54793066,0,0,1000
54793426,0,0,1000
54793787,0,0,1000
54794147,0,0,1000
54794507,0,0,1000
54794868,0,0,1000
54795228,0,0,1000
54795588,0,0,1000
54795949,0,0,1000
54796309,0,0,1000
54796670,0,0,1000
54797030,0,0,1000
54797390,0,0,1000
54797751,0,0,1000
54798111,0,0,1000
54798471,0,0,1000
54798832,0,0,1000
54799192,0,0,1000
54799553,0,0,1000
54799913,0,0,1000
54800273,0,0,1000
54800634,0,0,1000
54800994,0,0,1000
54801355,0,0,1000
54801715,0,0,1000
54802075,0,0,1000
54802436,0,0,1000
54802796,0,0,1000
54803156,0,0,1000
54803517,0,0,1000
54803877,0,0,1000
54804238,0,0,1000
54804598,0,0,1000
54804958,0,0,1000
54805319,0,0,1000
54805679,0,0,1000
54806039,0,0,1000
54806400,0,0,1000
54806760,0,0,1000
54807121,0,0,1000
54807481,0,0,1000
54807841,0,0,1000
54808202,0,0,1000
54808562,0,0,1000
54808923,0,0,1000
54809283,0,0,1000
54809643,0,0,1000
54810005,0,0,1000
54810364,0,0,1000
54810724,0,0,1000
54811085,0,0,1000
54811445,0,0,1000
54811806,0,0,1000
54812166,0,0,1000
54812526,0,0,1000
54812887,0,0,1000
54813247,0,0,1000
54813607,0,0,1000
54813968,0,0,1000
54814328,0,0,1000
54814689,0,0,1000
54815049,0,0,1000
54815409,0,0,1000
54815770,0,0,1000
54816130,0,0,1000
54816491,0,0,1000
54816851,0,0,1000
54817211,0,0,1000
54817572,0,0,1000
54817932,0,0,1000
54818292,0,0,1000
54818653,0,0,1000
54819014,0,0,1000
54819374,0,0,1000
54819734,0,0,1000
54820094,0,0,1000
54820455,0,0,1000
54820815,0,0,1000
54821175,0,0,1000
54821536,0,0,1000
54821896,0,0,1000
54822257,0,0,1000
54822617,0,0,1000
54822977,0,0,1000
54823338,0,0,1000
54823698,0,0,1000
54824059,0,0,1000
54824419,0,0,1000
54824779,0,0,1000
54825140,0,0,1000
54825500,0,0,1000
54825860,0,0,1000
54826221,0,0,1000
54826581,0,0,1000
54826942,0,0,1000
54827302,0,0,1000
54827662,0,0,1000
54828021,0,0,1000
54828381,0,0,1000
54828741,0,0,1000
54829102,0,0,1000
54829462,0,0,1000
54829823,0,0,1000
54830183,0,0,1000
54830543,0,0,1000
54830904,0,0,1000
54831264,0,0,1000
54831624,0,0,1000
54831985,0,0,1000
54832345,0,0,1000
54832706,0,0,1000
54833066,0,0,1000
54833426,0,0,1000
54833787,0,0,1000
54834146,0,0,1000
54834505,0,0,1000
54834866,0,0,1000
54835226,0,0,1000
54835587,0,0,1000
54835947,0,0,1000
54836307,0,0,1000
54836668,0,0,1000
54837028,0,0,1000
54837388,0,0,1000
54837749,0,0,1000
54838109,0,0,1000
54838470,0,0,1000
54838830,0,0,1000
54839190,0,0,1000
54839551,0,0,1000
54839911,0,0,1000
54840271,0,0,1000
54840632,0,0,1000
54840992,0,0,1000
54841353,0,0,1000
54841713,0,0,1000
54842073,0,0,1000
54842434,0,0,1000
54842794,0,0,1000
54843155,0,0,1000
54843515,0,0,1000
54843875,0,0,1000
54844236,0,0,1000
54844596,0,0,1000
54844956,0,0,1000
54845317,0,0,1000
54845677,0,0,1000
54846038,0,0,1000
54846397,0,0,1000
54846756,0,0,1000
54847117,0,0,1000
54847477,0,0,1000
54847837,0,0,1000
54848198,0,0,1000
54848558,0,0,1000
54848919,0,0,1000
54849279,0,0,1000
54849639,0,0,1000
54850001,0,0,1000
54850360,0,0,1000
54850720,0,0,1000
54851081,0,0,1000
54851441,0,0,1000
54851802,0,0,1000
54852162,0,0,1000
54852521,0,0,1000
54852881,0,0,1000
54853241,0,0,1000
54853601,0,0,1000
54853962,0,0,1000
54854322,0,0,1000
54854683,0,0,1000
54855043,0,0,1000
54855403,0,0,1000
54855764,0,0,1000
54856124,0,0,1000
54856484,0,0,1000
54856845,0,0,1000
54857205,0,0,1000
54857566,0,0,1000
54857926,0,0,1000
54858286,0,0,1000
54858647,0,0,1000
54859008,0,0,1000
54859367,0,0,1000
54859728,0,0,1000
54860088,0,0,1000
54860449,0,0,1000
54860809,0,0,1000
54861169,0,0,1000
54861530,0,0,1000
54861890,0,0,1000
54862251,0,0,1000
54862611,0,0,1000
54862971,0,0,1000
54863332,0,0,1000
54863692,0,0,1000
54864052,0,0,1000
54864413,0,0,1000
54864773,0,0,1000
54865134,0,0,1000
54865494,0,0,1000
54865854,0,0,1000
54866215,0,0,1000
54866575,0,0,1000
54866935,0,0,1000
54867296,0,0,1000
54867656,0,0,1000
54868017,0,0,1000
54868377,0,0,1000
54868737,0,0,1000
54869098,0,0,1000
54869458,0,0,1000
54869819,0,0,1000
54870179,0,0,1000
54870539,0,0,1000
54870900,0,0,1000
54871260,0,0,1000
54871620,0,0,1000
54871981,0,0,1000
54872341,0,0,1000
54872702,0,0,1000
54873062,0,0,1000
54873422,0,0,1000
54873783,0,0,1000
54874143,0,0,1000
54874503,0,0,1000
54874864,0,0,1000
54875224,0,0,1000
54875585,0,0,1000
54875945,0,0,1000
54876305,0,0,1000
54876666,0,0,1000
54877026,0,0,1000
54877387,0,0,1000
54877747,0,0,1000
54878107,0,0,1000
54878468,0,0,1000
54878828,0,0,1000
54879188,0,0,1000
54879549,0,0,1000
54879909,0,0,1000
54880270,0,0,1000
54880630,0,0,1000
54880990,0,0,1000
54881351,0,0,1000
54881711,0,0,1000
54882071,0,0,1000
54882432,0,0,1000
54882792,0,0,1000
54883153,0,0,1000
54883513,0,0,1000
54883873,0,0,1000
54884234,0,0,1000
54884594,0,0,1000
54884955,0,0,1000
54885315,0,0,1000
54885675,0,0,1000
54886036,0,0,1000
54886396,0,0,1000
54886756,0,0,1000
54887117,0,0,1000
54887477,0,0,1000
54887838,0,0,1000
54888198,0,0,1000
54888558,0,0,1000
54888919,0,0,1000
54889279,0,0,1000
54889639,0,0,1000
54890001,0,0,1000
54890360,0,0,1000
54890721,0,0,1000
54891081,0,0,1000
54891441,0,0,1000
54891802,0,0,1000
54892162,0,0,1000
54892522,0,0,1000
54892881,0,0,1000
54893241,0,0,1000
54893602,0,0,1000
54893962,0,0,1000
54894322,0,0,1000
54894683,0,0,1000
54895043,0,0,1000
54895403,0,0,1000
54895764,0,0,1000
54896124,0,0,1000
54896485,0,0,1000
54896845,0,0,1000
54897205,0,0,1000
54897566,0,0,1000
54897926,0,0,1000
54898287,0,0,1000
54898647,0,0,1000
54899009,0,0,1000
54899368,0,0,1000
54899728,0,0,1000
54900088,0,0,1000
54900449,0,0,1000
54900809,0,0,1000
54901170,0,0,1000
54901530,0,0,1000
54901890,0,0,1000
54902251,0,0,1000
54902611,0,0,1000
54902971,0,0,1000
54903332,0,0,1000
54903692,0,0,1000
54904053,0,0,1000
54904413,0,0,1000
54904773,0,0,1000
54905134,0,0,1000
54905494,0,0,1000
54905855,0,0,1000
54906215,0,0,1000
54906575,0,0,1000
54906936,0,0,1000
54907296,0,0,1000
54907656,0,0,1000
54908017,0,0,1000
54908377,0,0,1000
54908738,0,0,1000
54909098,0,0,1000
54909458,0,0,1000
54909819,0,0,1000
54910179,0,0,1000
54910539,0,0,1000
54910900,0,0,1000
54911260,0,0,1000
54911621,0,0,1000
54911981,0,0,1000
54912341,0,0,1000
54912702,0,0,1000
54913062,0,0,1000
54913422,0,0,1000
54913783,0,0,1000
54914143,0,0,1000
54914504,0,0,1000
54914864,0,0,1000
54915224,0,0,1000
54915585,0,0,1000
54915945,0,0,1000
54916306,0,0,1000
54916666,0,0,1000
54917026,0,0,1000
54917387,0,0,1000
54917747,0,0,1000
54918107,0,0,1000
54918468,0,0,1000
54918828,0,0,1000
54919189,0,0,1000
54919549,0,0,1000
54919909,0,0,1000
54920270,0,0,1000
54920630,0,0,1000
54920991,0,0,1000
54921351,0,0,1000
54921711,0,0,1000
54922072,0,0,1000
54922432,0,0,1000
54922792,0,0,1000
54923153,0,0,1000
54923513,0,0,1000
54923874,0,0,1000
54924234,0,0,1000
54924594,0,0,1000
54924955,0,0,1000
54925315,0,0,1000
54925675,0,0,1000
54926036,0,0,1000
54926396,0,0,1000
54926757,1000,0,1000
54927117,1000,0,1000
54927478,1000,0,1000
54927838,1000,0,1000
54928199,1000,0,1000
54928559,1000,0,1000
54928919,1000,0,1000
54929280,1000,0,1000
54929640,1000,0,1000
54930002,1000,0,1000
54930361,1000,0,1000
54930721,1000,0,1000
54931082,1000,0,1000
54931442,1000,0,1000
54931802,1000,0,1000
54932163,1000,0,1000
54932522,1000,0,1000
54932881,1000,0,1000
54933242,1000,0,1000
54933602,1000,0,1000
54933963,1000,0,1000
54934323,1000,0,1000
54934683,1000,0,1000
54935044,1000,0,1000
54935404,1000,0,1000
54935764,1000,0,1000
54936125,1000,0,1000
54936485,1000,0,1000
54936846,1000,0,1000
54937206,1000,0,1000
54937566,1000,0,1000
54937927,1000,0,1000
54938287,1000,0,1000
54938647,1000,0,1000
54939007,1000,0,1000
54939366,1000,0,1000
54939727,1000,0,1000
54940087,1000,0,1000
54940447,1000,0,1000
54940808,1000,0,1000
54941168,1000,0,1000
54941528,1000,0,1000
54941889,1000,0,1000
54942249,1000,0,1000
54942610,1000,0,1000
54942970,1000,0,1000
54943330,1000,0,1000
54943691,1000,0,1000
54944051,1000,0,1000
54944412,1000,0,1000
54944772,1000,0,1000
54945132,1000,0,1000
54945493,1000,0,1000
54945853,1000,0,1000
54946213,1000,0,1000
54946574,1000,0,1000
54946934,1000,0,1000
54947295,1000,0,1000
54947655,1000,0,1000
54948016,1000,0,1000
54948376,1000,0,1000
54948736,1000,0,1000
54949096,1000,0,1000
54949457,1000,0,1000
54949817,1000,0,1000
54950178,1000,0,1000
54950538,1000,0,1000
54950897,1000,0,1000
54951257,1000,0,1000
54951617,1000,0,1000
54951977,1000,0,1000
54952338,1000,0,1000
54952698,1000,0,1000
54953059,1000,0,1000
54953419,1000,0,1000
54953779,1000,0,1000
54954140,1000,0,1000
54954500,1000,0,1000
54954860,1000,0,1000
54955221,1000,0,1000
54955581,1000,0,1000
54955942,1000,0,1000
54956302,1000,0,1000
54956662,1000,0,1000
54957022,1000,0,1000
54957381,1000,0,1000
54957741,1000,0,1000
54958102,1000,0,1000
54958462,1000,0,1000
54958823,1000,0,1000
54959183,1000,0,1000
54959543,1000,0,1000
54959904,1000,0,1000
54960264,1000,0,1000
54960624,1000,0,1000
54960985,1000,0,1000
54961345,1000,0,1000
54961706,1000,0,1000
54962066,1000,0,1000
54962426,1000,0,1000
54962787,1000,0,1000
54963147,1000,0,1000
54963508,1000,0,1000
54963868,1000,0,1000
54964228,1000,0,1000
54964589,1000,0,1000
54964949,1000,0,1000
54965309,1000,0,1000
54965670,1000,0,1000
54966030,1000,0,1000
54966391,1000,0,1000
54966751,1000,0,1000
54967111,1000,0,1000
54967472,1000,0,1000
54967832,1000,0,1000
54968192,1000,0,1000
54968553,1000,0,1000
54968913,1000,0,1000
54969274,1000,0,1000
54969634,1000,0,1000
54969994,1000,0,1000
54970355,1000,0,1000
54970715,1000,0,1000
54971076,1000,0,1000
54971436,1000,0,1000
54971796,1000,0,1000
54972157,1000,0,1000
54972517,1000,0,1000
54972877,1000,0,1000
54973238,1000,0,1000
54973598,1000,0,1000
54973959,1000,0,1000
54974319,1000,0,1000
54974679,1000,0,1000
54975040,1000,0,1000
54975400,1000,0,1000
54975760,1000,0,1000
54976121,1000,0,1000
54976481,1000,0,1000
54976842,1000,0,1000
54977202,1000,0,1000
54977562,1000,0,1000
54977923,1000,0,1000
54978283,1000,0,1000
54978644,1000,0,1000
54979005,1000,0,1000
54979364,1000,0,1000
54979725,1000,0,1000
54980085,1000,0,1000
54980445,1000,0,1000
54980806,1000,0,1000
54981166,1000,0,1000
54981527,1000,0,1000
54981887,1000,0,1000
54982247,1000,0,1000
54982608,1000,0,1000
54982968,1000,0,1000
54983328,1000,0,1000
54983689,1000,0,1000
54984049,1000,0,1000
54984410,1000,0,1000
54984770,1000,0,1000
54985130,1000,0,1000
54985491,1000,0,1000
54985851,1000,0,1000
54986212,1000,0,1000
54986572,1000,0,1000
54986932,1000,0,1000
54987293,1000,0,1000
54987653,1000,0,1000
54988015,1000,0,1000
54988374,1000,0,1000
54988734,1000,0,1000
54989095,1000,0,1000
54989455,1000,0,1000
54989815,1000,0,1000
54990176,1000,0,1000
54990536,1000,0,1000
54990896,1000,0,1000
54991257,1000,0,1000
54991617,1000,0,1000
54991978,1000,0,1000
54992338,1000,0,1000
54992698,1000,0,1000
54993059,1000,0,1000
54993419,1000,0,1000
54993780,1000,0,1000
54994140,1000,0,1000
54994500,1000,0,1000
54994861,1000,0,1000
54995221,1000,0,1000
54995581,1000,0,1000
54995942,1000,0,1000
54996302,1000,0,1000
54996663,1000,0,1000
54997022,1000,0,1000
54997381,1000,0,1000
54997742,1000,0,1000
54998102,1000,0,1000
54998462,1000,0,1000
54998823,1000,0,1000
54999183,1000,0,1000
54999544,1000,0,1000
54999904,1000,0,1000
55000264,1000,0,1000
55000625,1000,0,1000
55000985,1000,0,1000
55001345,1000,0,1000
55001706,1000,0,1000
55002066,1000,0,1000
55002427,1000,0,1000
55002787,1000,0,1000
55003147,1000,0,1000
55003508,1000,0,1000
55003868,1000,0,1000
55004228,1000,0,1000
55004589,1000,0,1000
55004949,1000,0,1000
55005310,1000,0,1000
55005670,1000,0,1000
55006030,1000,0,1000
55006391,1000,0,1000
55006751,1000,0,1000
55007112,1000,0,1000
55007472,1000,0,1000
55007832,1000,0,1000
55008193,1000,0,1000
55008553,1000,0,1000
55008913,1000,0,1000
55009274,1000,0,1000
55009634,1000,0,1000
55009995,1000,0,1000
55010355,1000,0,1000
55010715,1000,0,1000
55011076,1000,0,1000
55011436,1000,0,1000
55011796,1000,0,1000
55012157,1000,0,1000
55012517,1000,0,1000
55012878,1000,0,1000
55013238,1000,0,1000
55013598,1000,0,1000
55013959,1000,0,1000
55014319,1000,0,1000
55014680,1000,0,1000
55015040,1000,0,1000
55015400,1000,0,1000
55015761,1000,0,1000
55016121,1000,0,1000
55016481,1000,0,1000
55016842,1000,0,1000
55017202,1000,0,1000
55017563,1000,0,1000
55017923,1000,0,1000
55018283,1000,0,1000
55018644,1000,0,1000
55019005,1000,0,1000
55019364,1000,0,1000
55019725,1000,0,1000
55020085,1000,0,1000
55020446,1000,0,1000
55020806,1000,0,1000
55021166,1000,0,1000
55021527,1000,0,1000
55021887,1000,0,1000
55022248,1000,0,1000
55022608,1000,0,1000
55022968,1000,0,1000
55023329,1000,0,1000
55023689,1000,0,1000
